State,Robots_2015
Michigan,27632
Indiana,19451
Kentucky,9523
Alabama,7692
Ohio,20415
Tennessee,10944
South Carolina,5615
Mississippi,2620
Iowa,3738
Wisconsin,6537
Missouri,5352
Arkansas,2166
North Carolina,7485
Illinois,10519
South Dakota,720
New Hampshire,1059
Oregon,2790
Nebraska,1608
Kansas,2134
Utah,2014
Idaho,958
Minnesota,3949
Vermont,412
Georgia,5621
Oklahoma,2141
Connecticut,2116
Pennsylvania,7371
Texas,13224
California,17844
West Virginia,751
Virginia,3520
North Dakota,434
Massachusetts,3208
Arizona,2098
Washington,2498
Rhode Island,375
New York,6124
Colorado,1635
New Jersey,2487
Maine,350
Delaware,259
Louisiana,1065
Maryland,1234
Florida,3897
New Mexico,343
Montana,177
Nevada,453
Wyoming,84
Alaska,91
Hawaii,83
