Metro_area,Robots_2015,lat,lon
"Detroit-Warren-Dearborn, MI",15115,42.3222599,-83.1763145
"Chicago-Naperville-Elgin, IL-IN-WI",6173,44.4308975,-89.6884637
"Los Angeles-Long Beach-Anaheim, CA",6083,33.8347516,-117.911732
"Dallas-Fort Worth-Arlington, TX",4837,32.701939,-97.105624826688
"Elkhart-Goshen, IN",4355,41.5824086,-85.834366
"San Jose-Sunnyvale-Santa Clara, CA",3427,37.3541132,-121.9551744
"Grand Rapids-Wyoming, MI",3102,43.1700264,-107.5685348
"Houston-The Woodlands-Sugar Land, TX",2596,29.6196787,-95.6349463
"Cleveland-Elyria, OH",2530,41.368251,-82.1065757
"Boston-Cambridge-Newton, MA-NH",2467,43.4849133,-71.6553992
"Columbus, OH",2465,39.9622601,-83.0007065
"Minneapolis-St. Paul-Bloomington, MN-WI",2422,44.4308975,-89.6884637
"San Francisco-Oakland-Hayward, CA",2380,48.8032735,-123.7244026
"Toledo, OH",2374,41.6786754,-83.5127283
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2304,39.5162234,-76.9382069
"Atlanta-Sandy Springs-Roswell, GA",2165,34.02332,-84.360022
"Kansas City, MO-KS",2137,38.27312,-98.5821872
"Indianapolis-Carmel-Anderson, IN",2087,40.1053196,-85.6802541
"Portland-Vancouver-Hillsboro, OR-WA",2054,47.2868352,-120.2126139
"Phoenix-Mesa-Scottsdale, AZ",1721,33.5091215,-111.8992365
"Milwaukee-Waukesha-West Allis, WI",1599,43.0166806,-88.0070315
"Greenville-Anderson-Mauldin, SC",1481,34.77873,-82.310119
"Lexington-Fayette, KY",1446,38.0280648,-84.4722444
"Spartanburg, SC",1443,34.9498007,-81.9320157
"Seattle-Tacoma-Bellevue, WA",1376,47.6144219,-122.1923372
"San Antonio-New Braunfels, TX",1315,29.7028266,-98.1257348
"San Diego-Carlsbad, CA",1288,33.1580933,-117.3505966
"Kokomo, IN",1274,40.4864444,-86.1336351
"Knoxville, TN",1224,35.9603948,-83.9210261
"Fort Wayne, IN",1221,41.0799898,-85.1386015
"Lansing-East Lansing, MI",1117,42.7355416,-84.4852469
"Tuscaloosa, AL",1050,33.2668398,-87.4862182
"Buffalo-Cheektowaga-Niagara Falls, NY",1044,43.1030928,-79.0302618
